event_id,request_id,p2_cycle_position,p2_position_label,p2_stage,zero_checkpoint_required,ethics_phase,ethics_policy_sha256,ethics_detector_id,ethics_detector_sha256,rule_id,family,name,enforcement,status,prev_ethics_hash,ethics_row_hash
0,public-000,0,"3,3 entry","3,3",False,REQUEST,ba9891785178c237b36af187871d55a5749b98fee6be82f2e9e7802d611ec395,wilson-transparent-ethics-reference-v1,b493b76b4e4462d56eca98f4afc6e1c00cd32ac0a7dc938d6c3dd9283e1f822d,ROB-1,Three Laws of Robotics,Human non-harm,HARD_GATE,PASS,GENESIS,c3ebb946f1edf7b961d21430a6c5b7153a20eb43210a9a944882c5783729bf12
0,public-000,0,"3,3 entry","3,3",False,REQUEST,ba9891785178c237b36af187871d55a5749b98fee6be82f2e9e7802d611ec395,wilson-transparent-ethics-reference-v1,b493b76b4e4462d56eca98f4afc6e1c00cd32ac0a7dc938d6c3dd9283e1f822d,ROB-2,Three Laws of Robotics,Bounded obedience,PRECEDENCE,PASS_PRECEDENCE,c3ebb946f1edf7b961d21430a6c5b7153a20eb43210a9a944882c5783729bf12,e83e46433a4b9525a1a79e311b6ab633d2c93661b753c3d02c8fee525a34394e
0,public-000,0,"3,3 entry","3,3",False,REQUEST,ba9891785178c237b36af187871d55a5749b98fee6be82f2e9e7802d611ec395,wilson-transparent-ethics-reference-v1,b493b76b4e4462d56eca98f4afc6e1c00cd32ac0a7dc938d6c3dd9283e1f822d,ROB-3,Three Laws of Robotics,Subordinate self-preservation,PRECEDENCE,PASS_PRECEDENCE,e83e46433a4b9525a1a79e311b6ab633d2c93661b753c3d02c8fee525a34394e,9f8b6d807dbc416b6149cdb758280f4775934b6098d11f55a317410217f59b60
0,public-000,0,"3,3 entry","3,3",False,REQUEST,ba9891785178c237b36af187871d55a5749b98fee6be82f2e9e7802d611ec395,wilson-transparent-ethics-reference-v1,b493b76b4e4462d56eca98f4afc6e1c00cd32ac0a7dc938d6c3dd9283e1f822d,DEC-1,Ten Commandments,No deification claim,HARD_GATE,PASS,9f8b6d807dbc416b6149cdb758280f4775934b6098d11f55a317410217f59b60,32bc89ed924bc6f9373ab8189ee5558333cd6b2052507019a0cac26286b3c57f
0,public-000,0,"3,3 entry","3,3",False,REQUEST,ba9891785178c237b36af187871d55a5749b98fee6be82f2e9e7802d611ec395,wilson-transparent-ethics-reference-v1,b493b76b4e4462d56eca98f4afc6e1c00cd32ac0a7dc938d6c3dd9283e1f822d,DEC-2,Ten Commandments,No deceptive divine invocation,HARD_GATE,PASS,32bc89ed924bc6f9373ab8189ee5558333cd6b2052507019a0cac26286b3c57f,5baa684167e1f13fa8146b4d4203189053e1545b4459122f9ba1bdd994e2a398
0,public-000,0,"3,3 entry","3,3",False,REQUEST,ba9891785178c237b36af187871d55a5749b98fee6be82f2e9e7802d611ec395,wilson-transparent-ethics-reference-v1,b493b76b4e4462d56eca98f4afc6e1c00cd32ac0a7dc938d6c3dd9283e1f822d,DEC-3,Ten Commandments,Sabbath/rest observance,NOT_APPLICABLE,NOT_APPLICABLE,5baa684167e1f13fa8146b4d4203189053e1545b4459122f9ba1bdd994e2a398,394e18be26ae219df3b7cfe8d5ed4ab171e9e895c836919668e322efe010f9de
0,public-000,0,"3,3 entry","3,3",False,REQUEST,ba9891785178c237b36af187871d55a5749b98fee6be82f2e9e7802d611ec395,wilson-transparent-ethics-reference-v1,b493b76b4e4462d56eca98f4afc6e1c00cd32ac0a7dc938d6c3dd9283e1f822d,DEC-4,Ten Commandments,Honor parents/family,NOT_APPLICABLE,NOT_APPLICABLE,394e18be26ae219df3b7cfe8d5ed4ab171e9e895c836919668e322efe010f9de,457353c84991da1283d606321183d861b7c1c6160aa976bf95c524be5395ef31
0,public-000,0,"3,3 entry","3,3",False,REQUEST,ba9891785178c237b36af187871d55a5749b98fee6be82f2e9e7802d611ec395,wilson-transparent-ethics-reference-v1,b493b76b4e4462d56eca98f4afc6e1c00cd32ac0a7dc938d6c3dd9283e1f822d,DEC-5,Ten Commandments,No killing or physical injury,HARD_GATE,PASS,457353c84991da1283d606321183d861b7c1c6160aa976bf95c524be5395ef31,f30409fb90c04e06a895b3fa2f40e84ac93e3e458d0c0406aae92de7a5ed0798
0,public-000,0,"3,3 entry","3,3",False,REQUEST,ba9891785178c237b36af187871d55a5749b98fee6be82f2e9e7802d611ec395,wilson-transparent-ethics-reference-v1,b493b76b4e4462d56eca98f4afc6e1c00cd32ac0a7dc938d6c3dd9283e1f822d,DEC-6,Ten Commandments,No facilitation of sexual betrayal/exploitation,HARD_GATE,PASS,f30409fb90c04e06a895b3fa2f40e84ac93e3e458d0c0406aae92de7a5ed0798,37964978bf1fc156fffb4709bb07ac84133b499bfc36df86f5255d08678ee4a0
0,public-000,0,"3,3 entry","3,3",False,REQUEST,ba9891785178c237b36af187871d55a5749b98fee6be82f2e9e7802d611ec395,wilson-transparent-ethics-reference-v1,b493b76b4e4462d56eca98f4afc6e1c00cd32ac0a7dc938d6c3dd9283e1f822d,DEC-7,Ten Commandments,No theft,HARD_GATE,PASS,37964978bf1fc156fffb4709bb07ac84133b499bfc36df86f5255d08678ee4a0,151be633b1f844abdc7ff22280ae0630055b69b71d2fd4515a74fd4547b36e52
